transaction_id,timestamp,user_id,amount_usd,merchant,device_type,ip_address,country,hour,day_of_week,is_weekend,is_fraud
e28ec879-5055-4423-bb37-8f0eaf59ec93,"2025-05-13 00:57:49",190ac5c5-1f35-45f0-b603-54952e1eaaa6,46.93,"Reeves LLC",Desktop,174.14.18.165,Latvia,0,Tuesday,False,0
0592c98e-511b-4b19-85da-051f0c89cec1,"2025-05-08 22:22:24",21446618-cba1-4ad2-b1fa-212708042293,301.01,"Delgado, Mcneil and Sanders",Desktop,206.65.24.54,Croatia,22,Thursday,False,0
f5467f12-a4e2-410f-bd1b-18aa2adb7ba4,"2025-06-07 03:33:00",9cbc39f6-393d-449e-bff9-6427ebaf16bd,131.67,"Casey, Hunt and Diaz",Mobile,178.124.60.187,Paraguay,3,Saturday,True,0
aa1b1e11-d7a2-41cb-b273-792ddcd2a377,"2025-06-06 15:08:30",1f0ae994-b4a4-4513-be69-99a10a8b7ce6,91.29,Reed-Smith,Desktop,206.234.77.21,"Bosnia and Herzegovina",15,Friday,False,0
b1fc559e-6821-45fc-8bfc-b219999c34dc,"2025-05-01 20:29:16",d92b583c-96aa-4931-831b-cf12adbedabe,16.96,Freeman-Mcneil,Mobile,169.78.178.218,Tokelau,20,Thursday,False,0
ba152f52-d5e3-42c1-a729-dd6b9a2f9a79,"2025-05-26 09:49:00",a2d2fe17-3efa-4777-984e-f0584868e493,16.96,"Juarez PLC",Desktop,151.208.187.190,Samoa,9,Monday,False,0
004d6bbc-f8eb-4cb6-870f-0d6c052b8f82,"2025-04-18 11:45:16",256af8eb-21bc-400d-aa5a-205143d469e9,5.98,Silva-Cole,Mobile,200.42.126.173,"Cote d'Ivoire",11,Friday,False,0
517b9f27-c1ca-4834-92a0-298a9f6fff56,"2025-05-06 21:47:42",3ccf7764-9bbb-4e3c-89f1-95f8b56821ce,201.12,"Carter, Harris and Mitchell",Mobile,129.223.161.185,"Cayman Islands",21,Tuesday,False,0
34a884fd-0e09-476c-821e-a620d4a8e977,"2025-04-30 15:25:37",5aa1775f-7e0f-427b-bd2f-eae98ff05625,91.91,"Wilkins, Edwards and Johnson",Desktop,211.222.39.66,Algeria,15,Wednesday,False,0
6e86a853-51bd-4635-9774-03db685731fe,"2025-05-23 08:21:20",7f8fb6f5-2f1e-4dcc-acb4-f82215ecbc36,123.13,"Williams, Day and Dawson",Desktop,157.9.125.208,Anguilla,8,Friday,False,0
bd3d4bd9-a9a6-49b8-8696-7c2e89de5116,"2025-04-27 15:39:54",9620dd14-020d-4d47-907b-aaa5d1a5e550,2.08,Davis-Chung,Desktop,163.207.66.15,Palau,15,Sunday,True,0
dd7b6bfa-456b-46a4-b875-020548b92ee1,"2025-05-20 09:40:20",7438fdca-e891-4ad0-bdb3-c0dd48480f94,350.36,Valdez-Golden,Mobile,103.189.35.222,Djibouti,9,Tuesday,False,1
8a3aa4c4-e0a3-40e3-afd9-8f2b0ff610eb,"2025-05-07 20:35:42",e49163f2-b26f-4e99-9b12-304c2e25cb79,178.64,"Reyes, Huff and Watts",Mobile,170.252.177.13,Honduras,20,Wednesday,False,0
db921bb3-ae93-47e2-a727-42502c3c403e,"2025-04-13 23:27:21",b97b3993-83a2-4854-969a-3358b4de6000,23.87,"Marshall, Davis and Bowers",Mobile,62.39.196.161,"United States of America",23,Sunday,True,0
1d8f81d1-e25e-4f84-b8ef-5271aaa67ed4,"2025-05-25 18:55:04",38215f16-e228-4aa2-96e9-dcf971c82e41,20.07,"Pope PLC",Desktop,191.207.168.9,Aruba,18,Sunday,True,0
8f81aae6-247a-4b26-bbc9-5d136c83ba9a,"2025-04-17 08:54:02",1b298a9f-3d50-4985-854f-6f3e88020f52,20.26,"Ray, Jones and Thompson",Desktop,73.120.43.132,"United Arab Emirates",8,Thursday,False,0
2430738d-32f7-49c7-a5fb-562b23caa70b,"2025-06-01 01:26:58",cd869996-8445-4232-a4ea-809b4d05e4c4,36.28,"Allison, Ruiz and Rowland",Desktop,207.251.56.52,Israel,1,Sunday,True,0
82ad6bdc-0f4c-47a2-ac8e-791380de44a3,"2025-05-07 00:48:26",da0b28ba-fe64-4ed9-a804-a80d16e0685c,74.39,"Miller Group",Desktop,191.221.40.247,Angola,0,Wednesday,False,0
4fd5edee-1927-4507-a3f7-04cf2898c348,"2025-04-23 12:29:03",640c329d-fd57-4f52-b391-aa25dcb7ee0f,56.55,"Lee, Clark and Massey",Mobile,141.169.4.169,Korea,12,Wednesday,False,0
b149c021-982f-4699-9502-f744f5ba9ab0,"2025-06-04 13:50:02",c6c268bc-8255-496a-9196-8beae4d95f2b,34.42,Holt-Torres,Mobile,171.197.221.74,Sweden,13,Wednesday,False,0
af013d00-d362-4db2-b6af-4e6d659c6284,"2025-05-01 03:26:40",6d02e2cd-3293-42e8-9a51-060de3b8f7c8,94.64,"Barr and Sons",Mobile,148.121.15.165,Cyprus,3,Thursday,False,0
fe106388-4be4-4bd0-84e0-2a444bfbf8c5,"2025-05-09 07:37:35",4443acb4-611d-4643-9b94-628a2cb11c60,15.02,"Shields, Davis and Thomas",Desktop,9.233.235.247,Madagascar,7,Friday,False,0
43791cf7-7324-4fc6-830a-4b63e3ca5246,"2025-05-13 12:45:48",959c5e8e-9afa-4ce1-8821-9f58c3d9b8ff,34.55,"Parker PLC",Tablet,80.86.114.131,"Svalbard & Jan Mayen Islands",12,Tuesday,False,0
38040a7e-45cd-49ca-ac78-66ba0a391596,"2025-04-12 23:09:06",38ee121a-fab8-4088-84f0-589b17b08c94,45.63,"Flores, Bowers and Fuller",Mobile,29.236.185.225,Bermuda,23,Saturday,True,0
ed34593a-39ef-4403-bb81-ed08f5766494,"2025-05-23 11:04:35",34c43f70-7447-4b72-8019-a91436ff8650,60.89,Castro-Andrews,Tablet,130.77.44.125,Peru,11,Friday,False,0
f9b8cd04-6431-4c47-9a89-425c67351155,"2025-05-22 14:15:54",3a291ea0-4f48-4528-a9fb-82aa520398ea,153.79,Garcia-Bass,Mobile,120.81.201.65,Tokelau,14,Thursday,False,0
748fc786-5ae7-4319-8ae7-0169bb847c62,"2025-05-16 17:15:18",0eca7a55-8835-466b-837b-13e01e9351f1,22.27,Hawkins-Tyler,Desktop,81.42.240.213,"Western Sahara",17,Friday,False,0
1eff7778-8374-410d-8683-9f7d14754ad2,"2025-05-26 03:07:44",e4094e37-1e38-42c1-b598-238de93da4f2,72.2,"Kennedy, Hill and Lee",Desktop,80.147.194.180,Brazil,3,Monday,False,0
ee26c917-ce1f-4af4-9716-257fe48eea92,"2025-05-16 05:29:17",ab3c9d3e-1a5b-4bb0-9874-bafd1a9a4bbd,89.75,"Smith Inc",Mobile,199.225.71.220,"British Virgin Islands",5,Friday,False,0
07334a7e-9e5c-4d21-87c3-da5f86e9bc41,"2025-05-27 07:13:56",4f99f389-914d-4f4e-86ef-4da6032a3cec,4.76,Wong-Garcia,Desktop,176.166.151.212,Zambia,7,Tuesday,False,0
c0f7ebec-8429-4ee6-aca3-fad76cc5b2a9,"2025-05-09 13:36:19",432844ec-c298-4e05-81ea-2e30a9c906c6,93.53,"Sanders Group",Desktop,222.161.168.9,Macedonia,13,Friday,False,0
563573a1-8da7-479a-9115-86b272a18f92,"2025-05-09 06:52:15",7e316c96-3b31-4acd-84e4-54482e4766b4,18.7,"Glenn Inc",Mobile,193.187.2.141,Qatar,6,Friday,False,0
35abe58e-c808-4c05-a4e4-f6c3bd2e017a,"2025-05-23 13:12:27",9b334178-8655-43dd-8473-e02579cc20b5,6.73,Bowen-Hickman,Mobile,107.197.11.254,"Saint Barthelemy",13,Friday,False,0
